Nr sklepu;WBS;Wykonawca ;Supervisior ; Backlog USD ; Backlog PLN ; Cabinets ;Zafakturowane;Dokumenty z demontaæu;Potwierdzony backlog z finansami;Demontaæ;Start montaæu - dostawa listy zmiennej i mebli;Miesiac montaæu;Miesi•c fakturowania;Numer SO;Stan;Nr projektu;Miasto dostawy;Ulica dostawy;Nr sklepu;Region;Kod pocztowy;Typ czynnika;Drzwi;Data montaæu drzwi;Data otwarcia sklepu;WydajnoòÜ gascoolera;Uwagi;TOTAL Cabinates;Regaày  nabiaà /ow;Regaày na mi©so;Regaày na ciasto;Plug-in;Komory;Lady ,stoày szafy;Bok prawy;Bok lewy;Regaày 3,75;Regaày 2,50;Regaày 1,25;Regaày inne;Regaày regenerowane 3,75;Regaày regenerowane 2,50;Regaàna ciasto systemowy ;Regaà na p•czek neutralny;Regaà na ciasto GTB CAKE 695;Regaà na ciasto GTB CAKE 1350;Zamraæarki FRICON 2500;Zamraæarki FRICON 1940;FRICON COMBI UDP zamraæarka;FRICON COMBI UDP chàodziarka;Zamraæarki ARAN;Chàodziarki ARAN;Szczyt¢wki zamraæarki;Szczyt¢wki chàodziarki;Zamraæarki regenerowane ARAN;Chàodziarki regenerowane ARAN;Szczyt¢wki regenerowane zamraæarki XTREEM;Szczyt¢wki regenerowane chàodziarkii XTREEM;Lady;Stoày;Szafy chàodnicze;Szafy mro´nicze;Komory              ( miejsca paletowe  )    chàodnia ;Komory              ( miejsca paletowe  )    mro´nia;Uwagi mro´nia;Agregat MINI CCP;QiuetCool QC MT;Komora na odpadki Mawi;Lod¢wka na socjal Gorenje;Lista podstawowa SAP;Chàodnice, Gascooler, agregat;Lista dodatkowa SAP;Na podstawie layoutu zaakceptowanego
6769;PLT01-00-210008;ROS-ZAK;R. Jeziorski ;107 655 USD;392 468,00 zà; 6,00    ;x;;;n/d;16;Grudzie‰;Luty;6011;EF;.0008;Osjak¢w;Cz©stochowska;6769;S;98-320;CO2;AIFO ren;21.12.2021;03.02.2022;;uruchomienie;6;6;;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;4;lady,stoày,szafy;1+AH2:AH34;;6;;;;;;;;1;;4;2;;;;;;;;;;;2;1;1;2;4;;;;2;1;1;;;;
7330;PLT01-00-210007;RALCO;R. Jeziorski ;187 008 USD;681 758,51 zà; 10,00    ;x;;;n/d;20;Grudzie‰;Luty;6011;nowy;.0007;Bodzentyn;Opatowska;7330;K;26-010;CO2;AIFO;05.01.2022;25.01.2022;;uruchomienie;10;7+2;0+1;GTB 1350;7+1+3+1;10+6;lady,stoày,szafy;1;;;;;;;;;;;1;;;;;;;;;;;;;2;1;1;;;;;1;;1;1;;;;
7125;PLT01-00-210005;ROS-ZAK;R. Jeziorski ;157 726 USD;575 006,41 zà; 10,00    ;x;;;n/d;27;Grudzie‰;Luty;4139;nowy;.0005;G¢ra Kalwaria;Wyszy‰skiego;7125;M;05-300;CO2;AIFO;13.01.2022;27.01.2022;;uruchomienie;10;6+3;0+1;GTB 1350;7+1+3+1;;lady,stoày,szafy;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;
7218;PLT01-00-210002;FRIWEN;R. Jeziorski ;189 559 USD;691 059,00 zà; 10,00    ;x;;;n/d;27;Grudzie‰;Luty;4136;nowy;.0002;Czosn¢w;Warszawska;7218;M;05-152;CO2;AIFO;13.01.2022;27.01.2022;;uruchomienie;10;6+3;0+1;GTB 1350;7+1+3+1;;lady,stoày,szafy;;1;;;;;;;;;;1;;;;;;;;;;;;;2;1;1;;;;;1;;1;1;;;;
6624;PLT01-00-210003;NIKARO;R. Jeziorski ;109 128 USD;424 508,00 zà; 6,00    ;x;;;n/d;4;Stycze‰;Marzec;4137;EF;.0003;Tarà¢w;;6624;LUB;22-437;CO2;AIFO ren;14.01.2022;03.02.2022;;wymiana Novum na Fricon;6;6;;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;4;lady,stoày,szafy;1;;6;;;;;;;;1;;4;2;;;0;0;0;0;;;;;2;1;1;2;4;;;;2;1;1;;;;
6978;PLT01-00-210001;ROS-ZAK;R. Jeziorski ;109 128 USD;424 508,00 zà; 6,00    ;x;;;n/d;10;Stycze‰;Luty;4135;EF;.0001;Sanniki;;6978;M;09-150;CO2;AIFO ren;14.01.2022;27.01.2022;;uruchomienie;6;6;;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;4;lady,stoày,szafy;1;;6;;;;;;;;1;;4;2;;;0;0;0;0;;;;;2;1;1;2;4;;;;2;1;1;;;;
7108;PLT01-00-210004;IT 2;R. Jeziorski ;198 174 USD;770 896,00 zà; 11,00    ;x;;;n/d;14;Luty;Marzec;4138;nowy;.0004;Lesznowola;Sàoneczna 6;7108;M;05-506;CO2;AIFO;17.02.2022;24.02.2022;;;11;8+2;0+1;GTB 1350;7+1+3+1;;lady,stoày,szafy;1;;8;3;;;;;;;;1;;;;;7;1;3;1;;;;;2;1;1;;;;;1;;1;1;;;;
4078;PLT01-00-224078;KLIMORS;R. Jeziorski ;198 206 USD;771 022,00 zà; 11,00    ;x;x;;11.01.2022;14;Luty;Luty;4975;remont;4078;Tarn¢w;Szkotnik;4078;T;33-100;CO2;AIFO ren;18.02.2022;24.02.2022;;;11;6+5;0+1;GTB 1350;9 ren + 1 ren +4 + 1;9+6;lada, st¢à, szafa;;1;;;;;;;;;;;;;;;;;4;1;9;1;;;;;;;;;;;;;;;;;
1988;PLT01-00-221988;RALCO;R. Jeziorski ;142 583 USD;554 646,00 zà; 9,00    ;x;x;;11.01.2022;14;Luty;Marzec;4976;remont;1988;Ostrowiec ówi©tokrzyski;ul. Traugutta ;1988;LUB;27-400;CO2;AIFO ren;19.02.2022;24.02.2022;;;11;6+2;0+1;GTB 1350;8 ren+2 (+);8+4;;1;;6;3;;;;;;;;;;;;;;;;2;8;;;;;;;;;;;;;;;;;;
5186;PLT01-00-225186;ROS-ZAK;R. Jeziorski ;184 740 USD;718 638,00 zà; 13,00    ;x;x;;11.01.2022;14;Luty;Luty;4977;remont;5186;Zwierzyniec;ul. Biàgorajska;5186;LUB;22-470;CO2;AIFO ren;19.02.2022;24.02.2022;;;11;6+5;0+2;GTB 1350;7 ren+1 ren+3+1;12+7;;;1;6;7;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
